Right_Shoulder_X,Right_Shoulder_Y,DELTOID_Affected_upper,DELTOID_Affected_lower
-0.46875435,-0.50149196,0.0370404290659588,-0.0710092043048838
-0.47235292,-0.5014852,0.0340765022829681,-0.0697861939574607
-0.47869793,-0.5012822,0.0357548881079403,-0.0660622147170007
-0.49155155,-0.50174916,0.0236631555577614,-0.0656942003024686
-0.48809847,-0.5055021,0.0272070591896605,-0.0577495715281552
-0.48238182,-0.5059605,0.0172041774640056,-0.0548902884819095
-0.47924122,-0.5078578,0.0165577908588098,-0.0439575230366305
-0.47856733,-0.51003903,-0.0136107131606707,-0.0320952722021609
-0.47826993,-0.50971377,-0.0042231622452544,-0.0267039307104469
-0.4766512,-0.5080415,0.0105341402112189,-0.0322682706849761
-0.47346523,-0.50723535,0.0333924549148444,-0.0668444790897433
-0.47521603,-0.50710756,0.061343375554215,-0.1014529274454452
-0.47320053,-0.5038982,0.0793236641534789,-0.1211511397479306
-0.46944755,-0.50442755,0.0986326651852497,-0.110790399344749
-0.46338597,-0.5041532,0.1225349833225164,-0.1594348561256818
-0.46331024,-0.5049305,0.1604966313127563,-0.1828347859394556
-0.45571136,-0.5045903,0.1874366133777438,-0.2054135936674024
-0.4448341,-0.5051837,0.2298958251170841,-0.2507993541130795
-0.43853068,-0.5039624,0.2273125038241733,-0.2225085828833163
-0.44115564,-0.504456,0.250458228686176,-0.2779018468920971
-0.44145465,-0.50769323,0.2984725065996009,-0.3180231725691801
-0.43964747,-0.50810534,0.340616112157634,-0.372008157483868
-0.43302196,-0.50705737,0.3766586099098238,-0.3878157618240315
-0.42806932,-0.5095596,0.4179381383784627,-0.4306429545733997
-0.4293071,-0.50983167,0.4411517012532495,-0.4585389337952789
-0.42785633,-0.5044838,0.4610517878632273,-0.4735666961914369
-0.4267254,-0.5014634,0.4674085560567598,-0.4721765044912375
-0.42654753,-0.5016061,0.4583951752062584,-0.4749949398544579
-0.4263897,-0.4987015,0.4591217897367668,-0.4555401140789234
-0.42387843,-0.50064445,0.4300610139959027,-0.4453347450058639
-0.42694566,-0.50429225,0.4207687134266616,-0.4271162571402538
-0.43368754,-0.504394,0.4291266335871701,-0.4221789754779125
-0.43863878,-0.50408304,0.4301963119740181,-0.4579409084212767
-0.44200513,-0.5036485,0.4438386721901916,-0.4647043649729055
-0.44179007,-0.50354385,0.4473338288827304,-0.4538815619164356
-0.44445798,-0.50315166,0.4289216621738143,-0.4277626538492024
-0.44573158,-0.5008437,0.3995631708022618,-0.4051719887108886
-0.44561026,-0.49791,0.4112175917904406,-0.4127193552265309
-0.44687855,-0.49720904,0.4060201909454634,-0.4222211536671275
-0.4409508,-0.49678287,0.4139129046448949,-0.4076592362780749
-0.43678576,-0.49556997,0.3988416308121505,-0.4414720702345505
